setCode,cardNumber,name,category,effectIndex,atomIndex,atomicEffectId,parserStatus,assignmentStatus,coverageStatus,semanticStatus,semanticIssues,actionType,markerTags,rawText,effectText,unrecognizedKind,uncoveredReason,trackingRemark,canonicalCoverage,canonicalAtoms,canonicalRemark
EB01,EB01-009,Just Shut Up and Come with Us!!!!,event,0,1,EB01-009#0.1,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,PLAY_CARD,[Counter],play up to 1 {Animal} type Character card with a cost of 3 or less.,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.",,,Card movement/action selector has no source zone or prior-result relation.,canonical,PLAY_CARD,Parser emitted a canonical V2 atom.
EB01,EB01-026,Prince Bellett,character,0,0,EB01-026#0.0,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[DON!! x1] [When Attacking],"If you have 1 or less cards in your hand, return up to 1 Character with a cost of 3 or less to the owner's hand."," [DON!! x1] [When Attacking] If you have 1 or less cards in your hand, return up to 1 Character with a cost of 3 or less to the owner's hand.",,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+ADD_CARD_TO_HAND,Parser emitted a canonical V2 atom.
EB01,EB01-028,Gum-Gum Champion Rifle,event,1,0,EB01-028#1.0,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[Trigger],Return up to 1 Character with a cost of 3 or less to the bottom of the owner's deck.,[Trigger] Return up to 1 Character with a cost of 3 or less to the bottom of the owner's deck.,,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+PLACE_CARD_IN_DECK,Parser emitted a canonical V2 atom.
EB01,EB01-029,Sorry. I'm a Goner.,event,0,2,EB01-029#0.2,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[Counter],place the revealed card at the bottom of your deck.,"[Counter] Reveal 1 card from the top of your deck. If the revealed card has a cost of 4 or more, return up to 1 of your Characters to the owner's hand. Then, place the revealed card at the bottom of your deck.",,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+PLACE_CARD_IN_DECK,Parser emitted a canonical V2 atom.
EB01,EB01-029,Sorry. I'm a Goner.,event,1,0,EB01-029#1.0,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[Trigger],Return up to 1 Character with a cost of 8 or less to the owner's hand.,[Trigger] Return up to 1 Character with a cost of 8 or less to the owner's hand.,,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+ADD_CARD_TO_HAND,Parser emitted a canonical V2 atom.
EB02,EB02-024,Sogeking,character,1,1,EB02-024#1.1,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[On Play],return up to 1 Character with a cost of 1 or less to the owner's hand.,"[On Play] Draw 2 cards and place 2 cards from your hand at the bottom of your deck in any order. Then, return up to 1 Character with a cost of 1 or less to the owner's hand.",,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+ADD_CARD_TO_HAND,Parser emitted a canonical V2 atom.
EB02,EB02-025,Donquixote Rosinante,character,0,2,EB02-025#0.2,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,PLAY_CARD,[Activate: Main],play up to 1 Character card with a cost of 2 or less rested.,"[Activate: Main] You may rest 1 of your DON!! cards and this Character: If your Leader is [Donquixote Rosinante], look at 5 cards from the top of your deck; play up to 1 Character card with a cost of 2 or less rested. Then, place the rest at the bottom of your deck in any order.",,,Card movement/action selector has no source zone or prior-result relation.,canonical,PLAY_CARD,Parser emitted a canonical V2 atom.
EB03,EB03-022,Isuka,character,1,0,EB03-022#1.0,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[On Play],Place up to 1 Character with a cost of 4 or less at the bottom of the owner's deck.,[On Play] Place up to 1 Character with a cost of 4 or less at the bottom of the owner's deck.,,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+PLACE_CARD_IN_DECK,Parser emitted a canonical V2 atom.
EB03,EB03-025,Hina,character,0,1,EB03-025#0.1,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[On Play],Return up to 1 Character with 6000 base power to the owner's hand.,[On Play] You may trash 1 card from your hand: Return up to 1 Character with 6000 base power to the owner's hand.,,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+ADD_CARD_TO_HAND,Parser emitted a canonical V2 atom.
EB03,EB03-027,Marguerite,character,0,0,EB03-027#0.0,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[On Play],Return up to 1 Character with 7000 base power to the owner's hand.,[On Play] Return up to 1 Character with 7000 base power to the owner's hand.,,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+ADD_CARD_TO_HAND,Parser emitted a canonical V2 atom.
EB04,EB04-028,Ice Time,event,1,0,EB04-028#1.0,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[Trigger],Return up to 1 Character with a cost of 5 or less to the owner's hand.,[Trigger] Return up to 1 Character with a cost of 5 or less to the owner's hand.,,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+ADD_CARD_TO_HAND,Parser emitted a canonical V2 atom.
OP01,OP01-063,Arlong,character,0,3,OP01-063#0.3,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[DON!! x1] [Activate: Main],"If the revealed card is an Event, place up to 1 card from your opponent's Life area at the bottom of the owner's deck."," [DON!! x1] [Activate: Main] You may rest this Character: Choose 1 card from your opponent's hand; your opponent reveals that card. If the revealed card is an Event, place up to 1 card from your opponent's Life area at the bottom of the owner's deck.",,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+PLACE_CARD_IN_DECK,Parser emitted a canonical V2 atom.
OP01,OP01-070,Dracule Mihawk,character,0,0,OP01-070#0.0,recognized,assigned,partial,needsAudit,Card movement/action selector has no source zone or prior-result relation.,MOVE_CARD,[On Play],Place up to 1 Character with a cost of 7 or less at the bottom of the owner's deck.,[On Play] Place up to 1 Character with a cost of 7 or less at the bottom of the owner's deck.,,,Card movement/action selector has no source zone or prior-result relation.,canonical,MOVE_CARD+PLACE_CARD_IN_DECK,Parser emitted a canonical V2 atom.
